"Package","LinkedPackage","Date"
"aaMI","R (>= 2.0.0)","2009-02-08"
"abind","R (>= 1.5.0)","2009-02-08"
"AcceptanceSampling","methods","2009-02-08"
"AcceptanceSampling","R(>= 2.4.0)","2009-02-08"
"AcceptanceSampling","stats","2009-02-08"
"actuar","R (>= 2.6.0)","2009-02-08"
"ada","R(>= 2.0.1)","2009-02-08"
"ada","rpart","2009-02-08"
"adabag","R (>= 2.4.0)","2009-02-08"
"adabag","rpart","2009-02-08"
"adabag","mlbench","2009-02-08"
"ADaCGH","R (>= 2.2.1)","2009-02-08"
"ADaCGH","cgh","2009-02-08"
"ADaCGH","tilingArray","2009-02-08"
"ADaCGH","aCGH","2009-02-08"
"ADaCGH","cghMCR","2009-02-08"
"ADaCGH","papply","2009-02-08"
"ADaCGH","GDD","2009-02-08"
"ADaCGH","waveslim","2009-02-08"
"ADaCGH","cluster","2009-02-08"
"ADaCGH","snapCGH","2009-02-08"
"ADaCGH","Hmisc","2009-02-08"
"AdaptFit","SemiPar","2009-02-08"
"AdaptFit","MASS","2009-02-08"
"AdaptFit","nlme","2009-02-08"
"AdaptFit","cluster","2009-02-08"
"ade4TkGUI","ade4 (>= 1.4-3)","2009-02-08"
"ade4TkGUI","tcltk","2009-02-08"
"adegenet","methods","2009-02-08"
"adehabitat","R (>= 2.7.0)","2009-02-08"
"adehabitat","ade4","2009-02-08"
"adimpro","R (>= 2.6.0)","2009-02-08"
"adimpro","grDevices","2009-02-08"
"adlift","EbayesThresh","2009-02-08"
"AdMit","mvtnorm","2009-02-08"
"AER","R (>= 2.5.0)","2009-02-08"
"AER","stats","2009-02-08"
"AER","car","2009-02-08"
"AER","lmtest","2009-02-08"
"AER","sandwich","2009-02-08"
"AER","strucchange","2009-02-08"
"AER","survival","2009-02-08"
"AER","zoo","2009-02-08"
"agce","nlme","2009-02-08"
"agreement","R (>= 2.7.0)","2009-02-08"
"agreement","stats","2009-02-08"
"agreement","utils","2009-02-08"
"agreement","tools","2009-02-08"
"agsemisc","R (>= 1.8.0)","2009-02-08"
"agsemisc","lattice","2009-02-08"
"agsemisc","grid","2009-02-08"
"AIS","R (>= 2.1.0)","2009-02-08"
"ALS","nnls (>= 1.1)","2009-02-08"
"ALS","Iso","2009-02-08"
"Amelia","R (>= 2.0.0)","2009-02-08"
"Amelia","foreign","2009-02-08"
"anacor","rgl","2009-02-08"
"anacor","scatterplot3d","2009-02-08"
"anacor","fda","2009-02-08"
"anacor","colorspace","2009-02-08"
"anacor","car","2009-02-08"
"analogue","R (>= 2.5.0)","2009-02-08"
"analogue","stats","2009-02-08"
"analogue","graphics","2009-02-08"
"analogue","vegan","2009-02-08"
"AnalyzeFMRI","tcltk","2009-02-08"
"animation","MASS","2009-02-08"
"anm","R (>= 1.4)","2009-02-08"
"anm","clim.pact","2009-02-08"
"anm","xtable","2009-02-08"
"aod","R (>= 2.0.0)","2009-02-08"
"aod","methods","2009-02-08"
"aod","stats","2009-02-08"
"ape","R (>= 2.6.0)","2009-02-08"
"aplpack","R (>= 2.4.0)","2009-02-08"
"aplpack","tcltk","2009-02-08"
"apsrtable","R (>= 2.8.0)","2009-02-08"
"apsrtable","methods","2009-02-08"
"apTreeshape","R (>= 2.0.0)","2009-02-08"
"archetypes","nnls (>= 1.1)","2009-02-08"
