"Package","DependsPageRank","SuggestsPageRank","ImportsPageRank","Date"
"aaMI",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"abind",0.00111319576700211,6.67011182218409e-05,0.000315696006531482,"2009-11-19"
"AcceptanceSampling",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"aCGH.Spline",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"actuar",0.000344020304718346,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ada",0.000152996973309609,5.80029052305115e-05,0.000315696006531482,"2009-11-19"
"adabag",0.000175004109398849,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ADaCGH",0.000152996973309598,8.28522215542149e-05,0.000315696006531482,"2009-11-19"
"AdaptFit",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"adaptTest",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ade4TkGUI",0.000152996973309609,6.3063198849023e-05,0.000315696006531482,"2009-11-19"
"adegenet",0.000284665635478797,5.80029052305109e-05,0.000315696006531482,"2009-11-19"
"adehabitat",0.000193343389473220,5.80029052305106e-05,0.000315696006531482,"2009-11-19"
"adephylo",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"adimpro",0.00044349116968761,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"adlift",0.000274036221800444,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"AdMit",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"AER",0.000152996973309600,9.67331796557314e-05,0.000315696006531482,"2009-11-19"
"agce",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"AGSDest",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"agsemisc",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"AIGIS",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"AIS",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"alphahull",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ALS",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"Amelia",0.000152996973309608,5.80029052305113e-05,0.000315696006531482,"2009-11-19"
"amer",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"anacor",0.000152996973309605,5.80029052305116e-05,0.000315696006531483,"2009-11-19"
"analogue",0.000152996973309604,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"AnalyzeFMRI",0.000274036221800441,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"anchors",0.000152996973309608,6.21774697047869e-05,0.000315696006531482,"2009-11-19"
"animation",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"anm",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ant",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
