"Package","Depended","Suggested","Imported","DependsPageRank","SuggestsPageRank","ImportsPageRank"
"ape",10,4,1,0.00140667725819394,8.04596248316826e-05,0.000831041777190023
"boot",28,14,3,0.00406397908966603,0.000113696895014212,0.00289242485982417
"car",18,21,2,0.00140987388808377,0.000210624351743986,0.000634719578843916
"chron",7,5,1,0.00092986032265478,6.90765300679937e-05,0.00134638754784856
"cluster",23,11,3,0.00240861437775990,9.24761609221837e-05,0.00224196230250343
"coda",36,9,2,0.00380273073686480,0.000151908022456315,0.000831041777190025
"codetools",4,1,1,0.0006655649190784,6.49614756235757e-05,0.000521834314794899
"colorspace",9,5,1,0.0008818841155925,0.000157569234637337,0.000916932738966446
"DBI",9,2,9,0.00140754885407336,0.0786136039823941,0.0074826695289668
"digest",9,4,1,0.00159594816400702,0.000113765107111585,0.00125166994137486
"e1071",24,12,1,0.00194206984891192,0.000228993296877607,0.000487477930084334
"filehash",3,1,2,0.000734764718848236,6.35692282108748e-05,0.00108871466251929
"flexmix",1,1,1,0.000395075470291277,6.96005225522836e-05,0.000573368891860755
"foreign",10,13,1,0.00165975365537693,0.000206254648156112,0.000831041777190022
"gdata",11,5,1,0.00134598758916828,8.11981398740581e-05,0.000831041777190021
"gee",2,2,1,0.000516114718782112,7.42433300475924e-05,0.00122009740588362
"genetics",5,2,2,0.00052316215275837,6.9600522552285e-05,0.00237707908916563
"glmnet",1,1,1,0.000201412672705943,5.80029052305116e-05,0.000831041777190021
"graph",10,6,2,0.00120474429404692,0.000147601916738420,0.00168995139495425
"graphics",88,4,43,0.0245048649492076,9.9895962856036e-05,0.0440096400599037
"grDevices",31,2,12,0.0104723078310648,5.80029052305115e-05,0.0186940112117951
"grid",42,10,9,0.00419459202384049,6.94538029483702e-05,0.0228306254333801
"gridBase",1,2,1,0.000213516597555024,7.8878616409703e-05,0.000462937655291067
"gsl",3,3,1,0.000362798337360386,6.49614756235754e-05,0.000831041777190021
"gtools",23,4,3,0.00242990268764788,7.71385293663629e-05,0.00457493751656352
"Hmisc",9,15,1,0.000995028461312434,0.000195237732254530,0.000831041777190023
"ipred",1,5,1,0.000187579615735556,7.37029130213333e-05,0.000487477930084331
"KernSmooth",12,12,1,0.00165016848955352,9.86456421053283e-05,0.000659259853637176
"lattice",93,32,13,0.0136630917910122,0.000192082270543660,0.0217537106468871
"lme4",10,5,1,0.00129251457876513,0.000135024725729002,0.000573368891860755
"lmtest",5,12,1,0.000528115480379484,0.000113044692008019,0.00117460562429572
"MASS",182,78,18,0.0170453083634066,0.00056890746103488,0.00876629001493194
"Matrix",20,13,5,0.00293256163870069,0.000110529729958279,0.00534795617255132
"methods",235,2,34,0.0405166491475065,6.23520117261766e-05,0.060320664472323
"mratios",2,2,1,0.000212252474836821,5.80029052305113e-05,0.000659259853637176
"multcomp",6,6,1,0.000769617935872444,8.69969485349417e-05,0.000659259853637176
